SubRegion,Kilograms
Australia and New Zealand,326650.3267517875
Caribbean,1265822.37469872
Central America,26065793.9100358
Central Asia and Transcaucasia,982027.1973031
East Africa,4731680.8372388
East and South-East Asia,5477555.32056379
Eastern Europe,422302.53184388
Near and Middle East/ South-West Asia,14223165.7233667
North Africa,5583362.59018905
North America,5419466.848544126
South America,38825057.614557244
South Asia,16805504.555526
South-Eastern Europe,50916577.25924987
Southern Africa,3903747.79673281
West and Central Africa,6747280.54856487
Western and Central Europe,8097584.748477395
